benchmark,method,pooled,within_pairweighted,within_unweighted,between,w_within,within_rank,n_targets
Linker,DISOPRED3-bind,0.629244,0.619806,0.614775,0.629524,0.028826,75,31
Linker,MoRFchibi-light,0.593475,0.569918,0.490123,0.594174,0.028826,78,31
Linker,ANCHOR2,0.586613,0.541270,0.517433,0.587958,0.028826,81,31
Linker,DeepDRPBind-DNA,0.571295,0.466769,0.468806,0.574398,0.028826,86,31
Linker,ProBiPred-nucleic,0.564435,0.591693,0.600011,0.563626,0.028826,77,31
Linker,MoRFchibi-web,0.516495,0.496559,0.442654,0.517087,0.028826,82,31
Linker,MoRFchibi,0.474820,0.491955,0.470570,0.474312,0.028826,84,31
Linker,DFLpred,0.473163,0.484248,0.615841,0.472834,0.028826,85,31
Linker,LIPNet,0.472856,0.495472,0.541993,0.472185,0.028826,83,31
Linker,DisoRDPbind-rna,0.435643,0.460161,0.427166,0.434916,0.028826,87,31
Linker,bindEmbed21IDR-idrNuc,0.360079,0.413230,0.390889,0.358501,0.028826,88,31
Linker,bindEmbed21IDR-rawNuc,0.358890,0.412258,0.386523,0.357306,0.028826,89,31
Linker,ProBiPred-protein,0.286345,0.321555,0.375251,0.285300,0.028826,90,31
Linker,bindEmbed21IDR-idrGeneral,0.250312,0.291987,0.362053,0.249075,0.028826,91,31
Linker,bindEmbed21IDR-rawGeneral,0.243265,0.285492,0.339067,0.242012,0.028826,92,31
