benchmark,n_shared_methods,pairwise_to_pairwise,pooled_to_pooled,pairwise_to_pooled,pooled_to_pairwise
Disorder-PDB,24,0.9973913043478261,0.9756521739130435,0.9321739130434783,0.9617391304347827
Disorder-NOX,24,0.9269565217391305,0.9504347826086956,0.8643478260869565,0.9608695652173913
Binding,29,0.8275862068965517,0.9064039408866995,0.7536945812807881,0.7206896551724138
Linker,47,0.8429694727104533,0.8222710453283997,0.7868871415356151,0.7743987049028677
