benchmark,pairwise_rank,method,pairwise_score,pooled_auc,pooled_rank,rank_change,separated_from_leader,leader,n_targets,n_eligible,n_entered
Disorder-PDB,58,ProBiPred-protein,0.319642,0.238532,60,2,True,DisorderNet-pbias,233,60,120
Disorder-PDB,59,bindEmbed21IDR-idrGeneral,0.266701,0.254361,58,-1,True,DisorderNet-pbias,233,60,120
Disorder-PDB,60,bindEmbed21IDR-rawGeneral,0.247790,0.240937,59,-1,True,DisorderNet-pbias,233,60,120
Disorder-NOX,1,DisorderNet-pbias,0.858127,0.876032,2,1,False,DisorderNet-pbias,178,60,120
Disorder-NOX,2,DisorderNet-windowed,0.857902,0.890021,1,-1,False,DisorderNet-pbias,178,60,120
Disorder-NOX,3,DisorderNet-Ensemble,0.855267,0.864042,3,0,False,DisorderNet-pbias,178,60,120
Disorder-NOX,4,flDPnn3a,0.842463,0.860240,4,0,False,DisorderNet-pbias,178,60,120
Disorder-NOX,5,flDPnn3b,0.823948,0.824106,14,9,True,DisorderNet-pbias,178,60,120
Disorder-NOX,6,AlphaFold-pLDDT,0.809386,0.777645,39,33,True,DisorderNet-pbias,178,60,120
Disorder-NOX,7,AlphaFold3-rsa,0.808547,0.838394,8,1,False,DisorderNet-pbias,178,60,120
Disorder-NOX,8,PUNCH2,0.805695,0.842215,6,-2,False,DisorderNet-pbias,178,60,120
Disorder-NOX,9,PUNCH2-Light,0.805656,0.839929,7,-2,False,DisorderNet-pbias,178,60,120
Disorder-NOX,10,rawMSA,0.803430,0.849575,5,-5,True,DisorderNet-pbias,178,60,120
Disorder-NOX,11,flDPnn2,0.802744,0.828915,11,0,True,DisorderNet-pbias,178,60,120
Disorder-NOX,12,SETH-0,0.802300,0.833060,10,-2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,13,flDPlr2,0.802187,0.800132,25,12,True,DisorderNet-pbias,178,60,120
Disorder-NOX,14,AlphaFold3-pLDDT,0.801477,0.786060,33,19,True,DisorderNet-pbias,178,60,120
Disorder-NOX,15,AlphaFold-rsa,0.800572,0.835693,9,-6,False,DisorderNet-pbias,178,60,120
Disorder-NOX,16,PredIDR2-Prof-Art,0.798346,0.782892,34,18,True,DisorderNet-pbias,178,60,120
Disorder-NOX,17,Metapredict-v3,0.798109,0.809322,22,5,False,DisorderNet-pbias,178,60,120
Disorder-NOX,18,PredIDR2-Prof-Rnd,0.797781,0.797784,27,9,True,DisorderNet-pbias,178,60,120
Disorder-NOX,19,SETH-1,0.797235,0.822246,15,-4,True,DisorderNet-pbias,178,60,120
Disorder-NOX,20,LMDisorder,0.795438,0.818418,18,-2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,21,PredIDR2-Seq-Art,0.791570,0.782412,35,14,True,DisorderNet-pbias,178,60,120
Disorder-NOX,22,flDPlr,0.789145,0.822083,16,-6,True,DisorderNet-pbias,178,60,120
Disorder-NOX,23,AUCpred-profile,0.785237,0.814847,19,-4,True,DisorderNet-pbias,178,60,120
Disorder-NOX,24,Metapredict-v2,0.783813,0.789501,29,5,True,DisorderNet-pbias,178,60,120
Disorder-NOX,25,DeepIDP-2L,0.782962,0.814824,20,-5,True,DisorderNet-pbias,178,60,120
Disorder-NOX,26,PredIDR2-Seq-Rnd,0.781364,0.774675,42,16,True,DisorderNet-pbias,178,60,120
Disorder-NOX,27,AlphaFold-binding,0.775552,0.824986,12,-15,True,DisorderNet-pbias,178,60,120
Disorder-NOX,28,DARUMA-beta,0.772601,0.803195,23,-5,True,DisorderNet-pbias,178,60,120
