benchmark,run,side,pooled_all_targets,pooled_two_class_targets,within_pairweighted,within_unweighted,between,w_within,n_paired_targets,wins,mean_per_target_delta,ci_lo,ci_hi,p_wilcoxon,p_holm_adjusted
Disorder-PDB,multitask_motif,variant,0.9589167533468581,0.9507364317326701,0.9506838405391536,0.9465581290915158,0.9507367008492639,0.005091089954386818,233,100,-3.183835494454806e-06,-0.004662071895675478,0.004630747115104463,0.9103390808979527,1.0
Disorder-PDB,multitask_control,control,0.9586616733840252,0.9505013542475306,0.9519451403222249,0.9465613129270102,0.9504939661894812,0.005091089954386818,233,100,-3.183835494454806e-06,-0.004662071895675478,0.004630747115104463,0.9103390808979527,1.0
Disorder-PDB,multitask_wass,variant,0.9597167215043063,0.9535311210770283,0.9450387529554397,0.9492486030749574,0.9535745777287843,0.005091089954386818,233,106,0.002687290147947024,-0.0006073494153433764,0.006184404871400409,0.3193477759919101,1.0
Disorder-PDB,multitask_control,control,0.9586616733840252,0.9505013542475306,0.9519451403222249,0.9465613129270102,0.9504939661894812,0.005091089954386818,233,106,0.002687290147947024,-0.0006073494153433764,0.006184404871400409,0.3193477759919101,1.0
Disorder-PDB,multitask_rank,variant,0.9588083808677673,0.9517785681089367,0.9528078332029134,0.9507883863964648,0.951773301213518,0.005091089954386818,233,115,0.004227073469454606,-0.00014185935251261386,0.008859855717376438,0.027304604692375375,0.3737086928940698
Disorder-PDB,multitask_control,control,0.9586616733840252,0.9505013542475306,0.9519451403222249,0.9465613129270102,0.9504939661894812,0.005091089954386818,233,115,0.004227073469454606,-0.00014185935251261386,0.008859855717376438,0.027304604692375375,0.3737086928940698
Disorder-NOX,multitask_motif,variant,0.8684475364967759,0.8676816502551783,0.8038607367864395,0.8518377471428805,0.8681152002695416,0.006747391400712042,178,83,0.0007482903171708275,-0.008867565947070397,0.010410875814646656,0.9774154021819655,1.0
Disorder-NOX,multitask_control,control,0.8557182720388359,0.8595204140918682,0.7914006817108168,0.8510894568257096,0.8599831669630988,0.006747391400712042,178,83,0.0007482903171708275,-0.008867565947070397,0.010410875814646656,0.9774154021819655,1.0
Disorder-NOX,multitask_wass,variant,0.8515090413840023,0.8558742290181585,0.7823900543644312,0.8477560663879263,0.8563734237686723,0.006747391400712042,178,79,-0.0033333904377833286,-0.01703582168858677,0.010574924584843918,0.3677556721207563,1.0
Disorder-NOX,multitask_control,control,0.8557182720388359,0.8595204140918682,0.7914006817108168,0.8510894568257096,0.8599831669630988,0.006747391400712042,178,79,-0.0033333904377833286,-0.01703582168858677,0.010574924584843918,0.3677556721207563,1.0
Disorder-NOX,multitask_rank,variant,0.8575015039480623,0.8607632757930953,0.7811691590816173,0.8500112581361586,0.861303976772883,0.006747391400712042,178,88,-0.0010781986895510001,-0.013274106699304346,0.010740358995651518,0.7954563302529563,1.0
Disorder-NOX,multitask_control,control,0.8557182720388359,0.8595204140918682,0.7914006817108168,0.8510894568257096,0.8599831669630988,0.006747391400712042,178,88,-0.0010781986895510001,-0.013274106699304346,0.010740358995651518,0.7954563302529563,1.0
Binding,multitask_motif,variant,0.7558456934060597,0.809464787814461,0.7622171413083797,0.7269737509002114,0.8107020457594809,0.02551841566002786,49,29,-0.0071297703906433715,-0.059715506073456964,0.04298145732479396,0.5276634794424773,1.0
Binding,multitask_control,control,0.724668683956269,0.811554832442632,0.8040101672329125,0.734103521290855,0.8117524020077539,0.02551841566002786,49,29,-0.0071297703906433715,-0.059715506073456964,0.04298145732479396,0.5276634794424773,1.0
Binding,multitask_wass,variant,0.6960967779882858,0.8327968509341058,0.8333243567948198,0.7833201328628334,0.8327830373187096,0.02551841566002786,49,31,0.04921661157197858,0.009836547281109657,0.09559407489979467,0.023007538413544637,0.34511307620316956
Binding,multitask_control,control,0.724668683956269,0.811554832442632,0.8040101672329125,0.734103521290855,0.8117524020077539,0.02551841566002786,49,31,0.04921661157197858,0.009836547281109657,0.09559407489979467,0.023007538413544637,0.34511307620316956
Binding,multitask_rank,variant,0.724137624702746,0.8110132514544279,0.8291689433774428,0.7316407698927758,0.8105378145651811,0.02551841566002786,49,23,-0.002462751398079057,-0.03851926640750158,0.036671092671778226,0.5084463626233848,1.0
