benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-NOX,DARUMA-beta,0.2,0.5240,0.4988,0.5438,0.2118,0.5200,-0.0040,12
Disorder-NOX,DARUMA-beta,0.1,0.7102,0.6757,0.7492,0.0902,0.7050,-0.0052,12
Disorder-NOX,DARUMA-beta,0.05,0.8409,0.8193,0.8772,0.0438,0.8780,0.0371,12
Disorder-NOX,DFLpred,0.2,0.8504,0.8184,0.8772,0.1685,0.8470,-0.0034,12
Disorder-NOX,DFLpred,0.1,0.9346,0.9134,0.9452,0.0751,0.9310,-0.0036,12
Disorder-NOX,DFLpred,0.05,0.9721,0.9638,0.9752,0.0289,0.9720,-0.0001,12
Disorder-NOX,DeepDISObind-all,0.2,0.6227,0.5861,0.6444,0.2116,0.5900,-0.0327,12
Disorder-NOX,DeepDISObind-all,0.1,0.7569,0.7512,0.7891,0.1167,0.7890,0.0321,12
Disorder-NOX,DeepDISObind-all,0.05,0.8611,0.8441,0.8988,0.0514,0.9110,0.0499,12
Disorder-NOX,DeepDISObind-nucleic,0.2,0.6524,0.6241,0.6723,0.2098,0.6560,0.0036,12
Disorder-NOX,DeepDISObind-nucleic,0.1,0.7808,0.7685,0.8441,0.1175,0.8190,0.0382,12
Disorder-NOX,DeepDISObind-nucleic,0.05,0.9112,0.9013,0.9507,0.0543,0.9240,0.0128,12
Disorder-NOX,DeepDISObind-protein,0.2,0.6207,0.5893,0.6614,0.2136,0.6210,0.0003,12
Disorder-NOX,DeepDISObind-protein,0.1,0.7794,0.7654,0.8025,0.0996,0.7980,0.0186,12
Disorder-NOX,DeepDISObind-protein,0.05,0.8861,0.8703,0.9133,0.0488,0.9110,0.0249,12
Disorder-NOX,DeepIDP-2L,0.2,0.5207,0.5002,0.5318,0.1990,0.5020,-0.0187,12
Disorder-NOX,DeepIDP-2L,0.1,0.6296,0.6108,0.6540,0.1038,0.7030,0.0734,12
Disorder-NOX,DeepIDP-2L,0.05,0.7505,0.7291,0.7871,0.0521,0.8720,0.1215,12
Disorder-NOX,DisEMBL-dis465,0.2,0.6028,0.5659,0.6151,0.2060,0.6140,0.0112,12
Disorder-NOX,DisEMBL-dis465,0.1,0.7624,0.7371,0.7826,0.0867,0.7910,0.0286,12
Disorder-NOX,DisEMBL-dis465,0.05,0.8815,0.8632,0.8904,0.0420,0.8960,0.0145,12
Disorder-NOX,DisEMBL-disHL,0.2,0.6540,0.6461,0.6648,0.1833,0.6390,-0.0150,12
Disorder-NOX,DisEMBL-disHL,0.1,0.8016,0.7908,0.8093,0.0820,0.8040,0.0024,12
Disorder-NOX,DisEMBL-disHL,0.05,0.8965,0.8915,0.9090,0.0323,0.9020,0.0055,12
Disorder-NOX,DisPredict2,0.2,0.7913,0.7288,0.8057,0.1841,0.7610,-0.0303,12
Disorder-NOX,DisPredict2,0.1,0.9121,0.8964,0.9337,0.0842,0.8850,-0.0271,12
Disorder-NOX,DisPredict2,0.05,0.9669,0.9613,0.9707,0.0439,0.9530,-0.0139,12
Disorder-NOX,DisoMine,0.2,0.6288,0.6044,0.6700,0.1814,0.5990,-0.0298,12
Disorder-NOX,DisoMine,0.1,0.7853,0.7625,0.8019,0.0901,0.7950,0.0097,12
Disorder-NOX,DisoMine,0.05,0.8797,0.8701,0.9054,0.0383,0.8940,0.0143,12
Disorder-NOX,DisoRDPbind-dna,0.2,0.8024,0.7901,0.8193,0.1927,0.8120,0.0096,12
Disorder-NOX,DisoRDPbind-dna,0.1,0.9144,0.9000,0.9215,0.0904,0.9170,0.0026,12
Disorder-NOX,DisoRDPbind-dna,0.05,0.9702,0.9663,0.9737,0.0355,0.9630,-0.0072,12
Disorder-NOX,DisoRDPbind-prot,0.2,0.6129,0.6016,0.6614,0.2130,0.6240,0.0111,12
Disorder-NOX,DisoRDPbind-prot,0.1,0.7928,0.7853,0.8125,0.0943,0.8000,0.0072,12
Disorder-NOX,DisoRDPbind-prot,0.05,0.9038,0.8930,0.9348,0.0390,0.9110,0.0072,12
Disorder-NOX,DisoRDPbind-rna,0.2,0.8559,0.8486,0.8640,0.2000,0.8590,0.0031,12
Disorder-NOX,DisoRDPbind-rna,0.1,0.9302,0.9235,0.9380,0.0941,0.9410,0.0108,12
Disorder-NOX,DisoRDPbind-rna,0.05,0.9640,0.9590,0.9762,0.0380,0.9740,0.0100,12
Disorder-NOX,ENSHROUD-all,0.2,0.5384,0.4953,0.5568,0.2045,0.5290,-0.0094,12
Disorder-NOX,ENSHROUD-all,0.1,0.7249,0.6915,0.7542,0.0842,0.7350,0.0101,12
Disorder-NOX,ENSHROUD-all,0.05,0.8704,0.8387,0.8854,0.0388,0.9010,0.0306,12
Disorder-NOX,ENSHROUD-nucleic,0.2,0.5807,0.5439,0.5862,0.2041,0.5970,0.0163,12
Disorder-NOX,ENSHROUD-nucleic,0.1,0.7271,0.7104,0.7614,0.1028,0.7810,0.0539,12
Disorder-NOX,ENSHROUD-nucleic,0.05,0.8521,0.8393,0.8788,0.0467,0.8820,0.0299,12
Disorder-NOX,ENSHROUD-protein,0.2,0.5266,0.5220,0.5627,0.2032,0.5420,0.0154,12
Disorder-NOX,ENSHROUD-protein,0.1,0.6808,0.6580,0.6989,0.1050,0.7070,0.0262,12
Disorder-NOX,ENSHROUD-protein,0.05,0.7859,0.7509,0.8106,0.0417,0.8820,0.0961,12
Disorder-NOX,ESpritz-D,0.2,0.6266,0.6090,0.6601,0.2160,0.5910,-0.0356,12
Disorder-NOX,ESpritz-D,0.1,0.7622,0.7241,0.7797,0.1130,0.7550,-0.0072,12
Disorder-NOX,ESpritz-D,0.05,0.8501,0.8116,0.8585,0.0565,0.8870,0.0369,12
Disorder-NOX,ESpritz-N,0.2,0.5720,0.5433,0.6025,0.1970,0.5770,0.0050,12
Disorder-NOX,ESpritz-N,0.1,0.7455,0.7177,0.7749,0.0924,0.7820,0.0365,12
Disorder-NOX,ESpritz-N,0.05,0.8608,0.8304,0.8827,0.0462,0.8890,0.0282,12
Disorder-NOX,ESpritz-X,0.2,0.5519,0.5242,0.5670,0.2166,0.5330,-0.0189,12
Disorder-NOX,ESpritz-X,0.1,0.7291,0.6686,0.7442,0.0960,0.7600,0.0309,12
Disorder-NOX,ESpritz-X,0.05,0.8342,0.8053,0.8518,0.0419,0.8890,0.0548,12
Disorder-NOX,IUPred3,0.2,0.5702,0.5425,0.5907,0.1970,0.5590,-0.0112,12
Disorder-NOX,IUPred3,0.1,0.7784,0.7336,0.7959,0.0848,0.7510,-0.0274,12
Disorder-NOX,IUPred3,0.05,0.8847,0.8749,0.9025,0.0405,0.8810,-0.0037,12
Disorder-NOX,IsUnstruct,0.2,0.5363,0.5032,0.5742,0.2188,0.5430,0.0067,12
Disorder-NOX,IsUnstruct,0.1,0.7247,0.6768,0.7368,0.0855,0.7480,0.0233,12
Disorder-NOX,IsUnstruct,0.05,0.8391,0.8024,0.8672,0.0401,0.8700,0.0309,12
Disorder-NOX,LINKER-Pred-Lite,0.2,0.6628,0.6483,0.6721,0.1801,0.6490,-0.0138,12
Disorder-NOX,LINKER-Pred-Lite,0.1,0.8130,0.7915,0.8220,0.0856,0.8370,0.0240,12
Disorder-NOX,LINKER-Pred-Lite,0.05,0.9049,0.8958,0.9151,0.0378,0.9260,0.0211,12
Disorder-NOX,LINKER-Pred,0.2,0.6254,0.6056,0.6469,0.1839,0.6590,0.0336,12
Disorder-NOX,LINKER-Pred,0.1,0.8210,0.7950,0.8289,0.0817,0.8370,0.0160,12
Disorder-NOX,LINKER-Pred,0.05,0.9111,0.8899,0.9263,0.0324,0.9470,0.0359,12
Disorder-NOX,LINKER-Pred2,0.2,0.6246,0.6129,0.6542,0.1878,0.6550,0.0304,12
Disorder-NOX,LINKER-Pred2,0.1,0.7999,0.7829,0.8254,0.0788,0.8230,0.0231,12
Disorder-NOX,LINKER-Pred2,0.05,0.9151,0.9034,0.9258,0.0324,0.9390,0.0239,12
Disorder-NOX,LIPNet,0.2,0.7641,0.7483,0.7911,0.2053,0.7710,0.0069,12
Disorder-NOX,LIPNet,0.1,0.8772,0.8702,0.8967,0.1131,0.8870,0.0098,12
Disorder-NOX,LIPNet,0.05,0.9366,0.9339,0.9515,0.0525,0.9440,0.0074,12
Disorder-NOX,LMDisorder,0.2,0.4897,0.4766,0.5048,0.1984,0.4940,0.0043,12
Disorder-NOX,LMDisorder,0.1,0.5828,0.5662,0.6059,0.0909,0.6710,0.0882,12
Disorder-NOX,LMDisorder,0.05,0.7193,0.6874,0.7473,0.0376,0.8380,0.1187,12
Disorder-NOX,Metapredict-v1,0.2,0.5508,0.5287,0.5635,0.1950,0.5340,-0.0168,12
Disorder-NOX,Metapredict-v1,0.1,0.7058,0.6871,0.7240,0.0870,0.7360,0.0302,12
Disorder-NOX,Metapredict-v1,0.05,0.8291,0.8171,0.8561,0.0391,0.8880,0.0589,12
Disorder-NOX,Metapredict-v2,0.2,0.5017,0.4844,0.5375,0.1983,0.5360,0.0343,12
Disorder-NOX,Metapredict-v2,0.1,0.6610,0.6456,0.7198,0.0998,0.7090,0.0480,12
Disorder-NOX,Metapredict-v2,0.05,0.7926,0.7771,0.8186,0.0397,0.8520,0.0594,12
Disorder-NOX,Metapredict-v3,0.2,0.4816,0.4633,0.5158,0.2006,0.4930,0.0114,12
Disorder-NOX,Metapredict-v3,0.1,0.6682,0.6313,0.7041,0.0934,0.6660,-0.0022,12
Disorder-NOX,Metapredict-v3,0.05,0.7927,0.7716,0.8192,0.0428,0.8340,0.0413,12
Disorder-NOX,MobiDB-lite,0.2,0.5590,0.5392,0.5848,0.1969,0.5650,0.0060,12
Disorder-NOX,MobiDB-lite,0.1,0.7593,0.7341,0.7784,0.0833,0.7880,0.0287,12
Disorder-NOX,MobiDB-lite,0.05,0.8945,0.8747,0.9179,0.0435,0.9140,0.0195,12
Disorder-NOX,NeProc2-beta-binding,0.2,0.5246,0.5082,0.5754,0.2142,0.5570,0.0324,12
Disorder-NOX,NeProc2-beta-binding,0.1,0.7294,0.7120,0.7419,0.1114,0.7370,0.0076,12
Disorder-NOX,NeProc2-beta-binding,0.05,0.8780,0.8599,0.8870,0.0428,0.8560,-0.0220,12
Disorder-NOX,NeProc2-beta-disorder,0.2,0.5198,0.5036,0.5615,0.2185,0.5440,0.0242,12
Disorder-NOX,NeProc2-beta-disorder,0.1,0.7293,0.7105,0.7421,0.1117,0.7360,0.0067,12
Disorder-NOX,NeProc2-beta-disorder,0.05,0.8765,0.8614,0.8859,0.0431,0.8620,-0.0145,12
Disorder-NOX,OPAL,0.2,0.7091,0.6849,0.7161,0.2026,0.7000,-0.0091,12
Disorder-NOX,OPAL,0.1,0.8321,0.8099,0.8502,0.1020,0.8490,0.0169,12
Disorder-NOX,OPAL,0.05,0.9204,0.9003,0.9253,0.0453,0.9400,0.0196,12
Disorder-NOX,PUNCH2-Light,0.2,0.4484,0.4425,0.4640,0.1983,0.4780,0.0296,12
Disorder-NOX,PUNCH2-Light,0.1,0.5609,0.5474,0.5878,0.0853,0.6460,0.0851,12
Disorder-NOX,PUNCH2-Light,0.05,0.6944,0.6645,0.7046,0.0377,0.8260,0.1316,12
Disorder-NOX,PUNCH2,0.2,0.4589,0.4368,0.4650,0.1931,0.4730,0.0141,12
Disorder-NOX,PUNCH2,0.1,0.5687,0.5606,0.6031,0.0890,0.6580,0.0893,12
Disorder-NOX,PUNCH2,0.05,0.6866,0.6603,0.6991,0.0398,0.8280,0.1414,12
Disorder-NOX,PredIDR2-Prof-Art,0.2,0.4916,0.4819,0.4985,0.1748,0.5150,0.0234,12
Disorder-NOX,PredIDR2-Prof-Art,0.1,0.6147,0.6020,0.6511,0.0858,0.6800,0.0653,12
Disorder-NOX,PredIDR2-Prof-Art,0.05,0.7316,0.7077,0.7467,0.0393,0.8300,0.0984,12
Disorder-NOX,PredIDR2-Prof-Rnd,0.2,0.4878,0.4707,0.5012,0.1859,0.5120,0.0242,12
Disorder-NOX,PredIDR2-Prof-Rnd,0.1,0.6275,0.6043,0.6408,0.0899,0.6860,0.0585,12
Disorder-NOX,PredIDR2-Prof-Rnd,0.05,0.7606,0.7363,0.7713,0.0345,0.8350,0.0744,12
Disorder-NOX,PredIDR2-Seq-Art,0.2,0.5392,0.5183,0.5483,0.1919,0.5210,-0.0182,12
Disorder-NOX,PredIDR2-Seq-Art,0.1,0.6574,0.6348,0.6724,0.0921,0.6860,0.0286,12
Disorder-NOX,PredIDR2-Seq-Art,0.05,0.7525,0.7245,0.7667,0.0435,0.8470,0.0945,12
Disorder-NOX,PredIDR2-Seq-Rnd,0.2,0.5287,0.5202,0.5404,0.1890,0.5260,-0.0027,12
Disorder-NOX,PredIDR2-Seq-Rnd,0.1,0.6873,0.6555,0.7035,0.0958,0.7270,0.0397,12
Disorder-NOX,PredIDR2-Seq-Rnd,0.05,0.7742,0.7517,0.7900,0.0438,0.8610,0.0868,12
Disorder-NOX,ProBiPred-nucleic,0.2,0.7975,0.7833,0.8050,0.1907,0.7920,-0.0055,12
Disorder-NOX,ProBiPred-nucleic,0.1,0.8954,0.8885,0.8996,0.0917,0.8950,-0.0004,12
Disorder-NOX,ProBiPred-nucleic,0.05,0.9500,0.9428,0.9539,0.0399,0.9460,-0.0040,12
Disorder-NOX,ProBiPred-protein,0.2,0.8878,0.8695,0.8934,0.1950,0.8990,0.0112,12
Disorder-NOX,ProBiPred-protein,0.1,0.9414,0.9370,0.9492,0.0935,0.9510,0.0096,12
Disorder-NOX,ProBiPred-protein,0.05,0.9748,0.9677,0.9769,0.0430,0.9800,0.0052,12
Disorder-NOX,RONN,0.2,0.5594,0.5223,0.5860,0.2078,0.5810,0.0216,12
Disorder-NOX,RONN,0.1,0.7097,0.6897,0.7431,0.0991,0.7690,0.0593,12
Disorder-NOX,RONN,0.05,0.8244,0.8077,0.8622,0.0467,0.8700,0.0456,12
Disorder-NOX,SETH-0,0.2,0.4408,0.4345,0.4471,0.1782,0.5030,0.0622,12
Disorder-NOX,SETH-0,0.1,0.5926,0.5824,0.6143,0.0893,0.7050,0.1124,12
Disorder-NOX,SETH-0,0.05,0.7414,0.7170,0.7887,0.0430,0.8510,0.1096,12
Disorder-NOX,SETH-1,0.2,0.4517,0.4395,0.4650,0.1831,0.5140,0.0623,12
Disorder-NOX,SETH-1,0.1,0.6219,0.6021,0.6496,0.0876,0.6920,0.0701,12
Disorder-NOX,SETH-1,0.05,0.7744,0.7445,0.7834,0.0400,0.8490,0.0746,12
Disorder-NOX,SPOT-Disorder-Single,0.2,0.5316,0.5039,0.5552,0.2185,0.5210,-0.0106,12
Disorder-NOX,SPOT-Disorder-Single,0.1,0.7097,0.6806,0.7238,0.0953,0.7090,-0.0007,12
Disorder-NOX,SPOT-Disorder-Single,0.05,0.8406,0.7913,0.8594,0.0358,0.8850,0.0444,12
Disorder-NOX,bindEmbed21IDR-idrGeneral,0.2,0.8942,0.8874,0.9116,0.1966,0.9090,0.0148,12
Disorder-NOX,bindEmbed21IDR-idrGeneral,0.1,0.9538,0.9415,0.9581,0.0860,0.9540,0.0002,12
Disorder-NOX,bindEmbed21IDR-idrGeneral,0.05,0.9704,0.9654,0.9735,0.0396,0.9780,0.0076,12
Disorder-NOX,bindEmbed21IDR-idrNuc,0.2,0.8705,0.8516,0.8963,0.1621,0.8690,-0.0015,12
Disorder-NOX,bindEmbed21IDR-idrNuc,0.1,0.9438,0.9068,0.9660,0.0802,0.9380,-0.0058,12
Disorder-NOX,bindEmbed21IDR-idrNuc,0.05,0.9744,0.9572,0.9812,0.0402,0.9740,-0.0004,12
Disorder-NOX,bindEmbed21IDR-rawGeneral,0.2,0.8980,0.8911,0.9109,0.1950,0.9170,0.0190,12
Disorder-NOX,bindEmbed21IDR-rawGeneral,0.1,0.9589,0.9485,0.9674,0.0673,0.9610,0.0021,12
Disorder-NOX,bindEmbed21IDR-rawGeneral,0.05,0.9800,0.9764,0.9827,0.0404,0.9820,0.0020,12
Disorder-NOX,bindEmbed21IDR-rawNuc,0.2,0.8596,0.8469,0.8688,0.1776,0.8700,0.0104,12
Disorder-NOX,bindEmbed21IDR-rawNuc,0.1,0.9170,0.9071,0.9506,0.0954,0.9400,0.0230,12
Disorder-NOX,bindEmbed21IDR-rawNuc,0.05,0.9824,0.9662,0.9861,0.0261,0.9740,-0.0084,12
Disorder-NOX,flDPlr,0.2,0.5647,0.5447,0.5894,0.1836,0.5180,-0.0467,12
Disorder-NOX,flDPlr,0.1,0.7442,0.7174,0.7719,0.0917,0.6890,-0.0552,12
Disorder-NOX,flDPlr,0.05,0.8683,0.8542,0.8791,0.0450,0.8440,-0.0243,12
Disorder-NOX,flDPlr2,0.2,0.5562,0.5261,0.5684,0.2070,0.4880,-0.0682,12
Disorder-NOX,flDPlr2,0.1,0.6808,0.6551,0.7033,0.0859,0.6560,-0.0248,12
Disorder-NOX,flDPlr2,0.05,0.8694,0.8041,0.8858,0.0464,0.8360,-0.0334,12
Disorder-NOX,flDPnn2,0.2,0.5252,0.5058,0.5486,0.1961,0.4960,-0.0292,12
Disorder-NOX,flDPnn2,0.1,0.6890,0.6697,0.7237,0.0975,0.6760,-0.0130,12
Disorder-NOX,flDPnn2,0.05,0.8368,0.8231,0.8572,0.0524,0.8340,-0.0028,12
Disorder-NOX,flDPnn3a,0.2,0.4866,0.4661,0.4980,0.1975,0.4600,-0.0266,12
Disorder-NOX,flDPnn3a,0.1,0.6639,0.6082,0.6783,0.0815,0.6220,-0.0419,12
Disorder-NOX,flDPnn3a,0.05,0.8012,0.7843,0.8093,0.0307,0.7720,-0.0292,12
Disorder-NOX,flDPnn3b,0.2,0.5200,0.4998,0.5320,0.1945,0.4610,-0.0590,12
Disorder-NOX,flDPnn3b,0.1,0.6512,0.6447,0.6826,0.0949,0.6240,-0.0272,12
Disorder-NOX,flDPnn3b,0.05,0.7721,0.7632,0.7786,0.0376,0.7690,-0.0031,12
Disorder-NOX,pyHCA,0.2,0.5982,0.5723,0.6207,0.2052,0.5570,-0.0412,12
Disorder-NOX,pyHCA,0.1,0.7686,0.7445,0.8105,0.0943,0.7560,-0.0126,12
Disorder-NOX,pyHCA,0.05,0.8488,0.8372,0.8576,0.0449,0.9010,0.0522,12
Disorder-NOX,rawMSA-disorder,0.2,0.5103,0.4994,0.5278,0.1831,0.5230,0.0127,12
Disorder-NOX,rawMSA-disorder,0.1,0.6586,0.6429,0.6864,0.0980,0.6580,-0.0006,12
Disorder-NOX,rawMSA-disorder,0.05,0.7691,0.7435,0.8029,0.0404,0.8060,0.0369,12
Disorder-NOX,rawMSA,0.2,0.4938,0.4705,0.5062,0.1964,0.4900,-0.0038,12
Disorder-NOX,rawMSA,0.1,0.6110,0.5876,0.6211,0.0933,0.6690,0.0580,12
Disorder-NOX,rawMSA,0.05,0.7248,0.7023,0.7501,0.0395,0.8490,0.1242,12
Disorder-NOX,DisorderNet-windowed,0.2,0.4137,0.3920,0.4225,0.1760,0.4230,0.0093,12
Disorder-NOX,DisorderNet-windowed,0.1,0.5116,0.4943,0.5344,0.0743,0.5850,0.0734,12
Disorder-NOX,DisorderNet-windowed,0.05,0.6341,0.6152,0.6571,0.0339,0.7260,0.0919,12
Disorder-NOX,DisorderNet-pbias,0.2,0.4373,0.4195,0.4547,0.1930,0.4330,-0.0043,12
Disorder-NOX,DisorderNet-pbias,0.1,0.5633,0.5339,0.5843,0.0911,0.5990,0.0357,12
Disorder-NOX,DisorderNet-pbias,0.05,0.7157,0.6692,0.7557,0.0340,0.7270,0.0113,12
Binding,AIUPred-2-binding,0.2,0.6430,0.6124,0.7308,0.2218,0.5480,-0.0950,12
Binding,AIUPred-2-binding,0.1,0.8445,0.8215,0.8969,0.0458,0.8560,0.0115,12
Binding,AIUPred-2-binding,0.05,0.9962,0.9799,0.9975,0.0000,0.9810,-0.0152,12
Binding,AIUPred-2-disorder,0.2,0.6028,0.5842,0.6407,0.1738,0.7600,0.1572,12
Binding,AIUPred-2-disorder,0.1,0.7254,0.6997,0.7872,0.0340,0.8940,0.1686,12
Binding,AIUPred-2-disorder,0.05,0.9715,0.9352,0.9780,0.0000,0.9720,0.0005,12
Binding,AIUPred,0.2,0.6857,0.6772,0.7203,0.1385,0.7090,0.0233,12
Binding,AIUPred,0.1,0.8967,0.8371,0.9726,0.0600,0.8620,-0.0347,12
Binding,AIUPred,0.05,0.9939,0.9915,0.9957,0.0085,0.9440,-0.0499,12
Binding,ANCHOR2,0.2,0.7429,0.6935,0.7897,0.1244,0.7660,0.0231,12
Binding,ANCHOR2,0.1,0.9696,0.9509,0.9880,0.0543,0.9240,-0.0456,12
Binding,ANCHOR2,0.05,0.9906,0.9885,0.9961,0.0000,0.9810,-0.0096,12
Binding,APOD,0.2,0.7832,0.7424,0.8159,0.1624,0.8090,0.0258,12
Binding,APOD,0.1,0.9034,0.8870,0.9549,0.0538,0.9160,0.0126,12
Binding,APOD,0.05,0.9737,0.9496,0.9956,0.0021,0.9820,0.0083,12
Binding,AUCpred-no-profile,0.2,0.6404,0.5517,0.6891,0.1582,0.8010,0.1606,12
Binding,AUCpred-no-profile,0.1,0.8743,0.8057,0.8987,0.0433,0.9430,0.0687,12
Binding,AUCpred-no-profile,0.05,0.9989,0.9869,0.9991,0.0000,0.9920,-0.0069,12
Binding,AUCpred-profile,0.2,0.6022,0.5324,0.6419,0.1747,0.7300,0.1278,12
Binding,AUCpred-profile,0.1,0.7515,0.6978,0.7817,0.0384,0.9110,0.1595,12
Binding,AUCpred-profile,0.05,0.9170,0.9023,0.9252,0.0000,0.9880,0.0710,12
Binding,AlphaFold-binding,0.2,0.5492,0.5113,0.5966,0.1636,0.5030,-0.0462,12
Binding,AlphaFold-binding,0.1,0.6835,0.5878,0.7083,0.0632,0.7560,0.0725,12
Binding,AlphaFold-binding,0.05,0.7998,0.7150,0.8220,0.0199,0.9760,0.1762,12
Binding,AlphaFold-pLDDT,0.2,0.5556,0.5364,0.6120,0.1674,0.7450,0.1894,12
Binding,AlphaFold-pLDDT,0.1,0.7237,0.6515,0.7597,0.0725,0.8960,0.1723,12
Binding,AlphaFold-pLDDT,0.05,0.8916,0.8487,0.9173,0.0234,0.9760,0.0844,12
Binding,AlphaFold-rsa,0.2,0.5493,0.5113,0.5966,0.1636,0.7220,0.1727,12
Binding,AlphaFold-rsa,0.1,0.6836,0.5874,0.7083,0.0632,0.9060,0.2224,12
Binding,AlphaFold-rsa,0.05,0.7979,0.7150,0.8220,0.0232,0.9870,0.1891,12
Binding,AlphaFold3-binding,0.2,0.5704,0.5019,0.5890,0.1689,0.5190,-0.0514,12
Binding,AlphaFold3-binding,0.1,0.6538,0.5650,0.6786,0.0441,0.7000,0.0462,12
Binding,AlphaFold3-binding,0.05,0.7663,0.6782,0.8025,0.0309,0.9640,0.1977,12
Binding,AlphaFold3-pLDDT,0.2,0.5451,0.5117,0.5960,0.1662,0.7120,0.1669,12
Binding,AlphaFold3-pLDDT,0.1,0.7140,0.6920,0.7609,0.0655,0.8900,0.1760,12
Binding,AlphaFold3-pLDDT,0.05,0.9272,0.8695,0.9338,0.0110,0.9820,0.0548,12
Binding,AlphaFold3-rsa,0.2,0.5703,0.5019,0.5890,0.1689,0.6890,0.1187,12
Binding,AlphaFold3-rsa,0.1,0.6530,0.5654,0.6786,0.0441,0.8950,0.2420,12
Binding,AlphaFold3-rsa,0.05,0.7662,0.6766,0.8025,0.0309,0.9800,0.2138,12
Binding,DARUMA-beta,0.2,0.6140,0.5619,0.6904,0.1838,0.7790,0.1650,12
Binding,DARUMA-beta,0.1,0.7674,0.7176,0.8522,0.0822,0.9120,0.1446,12
Binding,DARUMA-beta,0.05,0.9919,0.9789,0.9928,0.0000,0.9830,-0.0089,12
Binding,DFLpred,0.2,0.8856,0.8411,0.9097,0.1737,0.9070,0.0214,12
Binding,DFLpred,0.1,0.9621,0.9404,0.9725,0.0724,0.9770,0.0149,12
Binding,DFLpred,0.05,0.9930,0.9896,0.9952,0.0053,0.9940,0.0010,12
Binding,DISOPRED3-bind,0.2,0.8273,0.7924,0.8893,0.1601,0.8350,0.0077,12
Binding,DISOPRED3-bind,0.1,0.9551,0.9121,0.9828,0.0379,0.9460,-0.0091,12
Binding,DISOPRED3-bind,0.05,1.0000,0.9713,1.0000,0.0000,0.9920,-0.0080,12
Binding,DISOPRED3-diso,0.2,0.7220,0.6366,0.7809,0.1129,0.7860,0.0640,12
Binding,DISOPRED3-diso,0.1,0.9177,0.8629,0.9301,0.0376,0.9120,-0.0057,12
Binding,DISOPRED3-diso,0.05,0.9566,0.9418,0.9606,0.0107,0.9890,0.0324,12
Binding,DRPBind-DNA,0.2,0.6616,0.6083,0.7206,0.1733,0.7820,0.1204,12
Binding,DRPBind-DNA,0.1,0.8410,0.7494,0.8708,0.0628,0.9210,0.0800,12
Binding,DRPBind-DNA,0.05,0.9249,0.9088,0.9417,0.0200,0.9800,0.0551,12
Binding,DRPBind-RNA,0.2,0.7753,0.7304,0.8193,0.1739,0.7420,-0.0333,12
Binding,DRPBind-RNA,0.1,0.9465,0.9233,0.9552,0.0733,0.9210,-0.0255,12
Binding,DRPBind-RNA,0.05,0.9771,0.9679,1.0000,0.0240,0.9920,0.0149,12
Binding,DRPBind-protein,0.2,0.7049,0.6020,0.7598,0.1138,0.6590,-0.0459,12
Binding,DRPBind-protein,0.1,0.9071,0.8619,0.9504,0.0474,0.8930,-0.0141,12
Binding,DRPBind-protein,0.05,0.9883,0.9833,0.9962,0.0100,0.9730,-0.0153,12
Binding,DeepDISObind-all,0.2,0.6889,0.5553,0.7350,0.1465,0.6800,-0.0089,12
Binding,DeepDISObind-all,0.1,0.8306,0.7610,0.8485,0.0376,0.9050,0.0744,12
Binding,DeepDISObind-all,0.05,0.9257,0.9082,0.9357,0.0030,0.9840,0.0583,12
Binding,DeepDISObind-nucleic,0.2,0.7070,0.6591,0.7383,0.1308,0.7110,0.0040,12
Binding,DeepDISObind-nucleic,0.1,0.9072,0.8626,0.9254,0.0474,0.9180,0.0108,12
Binding,DeepDISObind-nucleic,0.05,0.9886,0.9532,0.9932,0.0036,0.9860,-0.0026,12
Binding,DeepDISObind-protein,0.2,0.6692,0.5889,0.7325,0.1437,0.6650,-0.0042,12
Binding,DeepDISObind-protein,0.1,0.8203,0.7547,0.8779,0.0455,0.8890,0.0687,12
Binding,DeepDISObind-protein,0.05,0.9147,0.9001,0.9588,0.0140,0.9780,0.0633,12
Binding,DeepDRPBind-DNA,0.2,0.8183,0.7382,0.8352,0.1406,0.8390,0.0207,12
Binding,DeepDRPBind-DNA,0.1,0.9196,0.8977,0.9782,0.0588,0.9510,0.0314,12
Binding,DeepDRPBind-DNA,0.05,0.9800,0.9478,0.9913,0.0400,0.9860,0.0060,12
Binding,DeepDRPBind-RNA,0.2,0.8414,0.8031,0.8506,0.1785,0.8590,0.0176,12
Binding,DeepDRPBind-RNA,0.1,0.9223,0.9120,0.9326,0.0541,0.9350,0.0127,12
Binding,DeepDRPBind-RNA,0.05,0.9795,0.9750,0.9988,0.0076,0.9890,0.0095,12
Binding,DeepDRPBind-protein,0.2,0.7545,0.6834,0.8313,0.1667,0.8550,0.1005,12
Binding,DeepDRPBind-protein,0.1,0.9046,0.8858,0.9109,0.0783,0.9430,0.0384,12
Binding,DeepDRPBind-protein,0.05,0.9750,0.9471,0.9822,0.0000,0.9890,0.0140,12
Binding,DeepIDP-2L,0.2,0.6116,0.4901,0.6994,0.1527,0.6460,0.0344,12
Binding,DeepIDP-2L,0.1,0.7298,0.6936,0.8274,0.0805,0.8560,0.1262,12
Binding,DeepIDP-2L,0.05,0.9561,0.8320,0.9605,0.0000,0.9740,0.0179,12
