benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-PDB,DeepIDP-2L,0.2,0.3534,0.3463,0.3828,0.2049,0.3310,-0.0224,12
Disorder-PDB,DeepIDP-2L,0.1,0.5019,0.4809,0.5082,0.0972,0.5390,0.0371,12
Disorder-PDB,DeepIDP-2L,0.05,0.6314,0.6176,0.6541,0.0514,0.7210,0.0896,12
Disorder-PDB,DisEMBL-dis465,0.2,0.5073,0.4797,0.5262,0.2035,0.5130,0.0057,12
Disorder-PDB,DisEMBL-dis465,0.1,0.7053,0.6881,0.7257,0.0992,0.7130,0.0077,12
Disorder-PDB,DisEMBL-dis465,0.05,0.8398,0.8307,0.8677,0.0486,0.8480,0.0082,12
Disorder-PDB,DisEMBL-disHL,0.2,0.5774,0.5699,0.6066,0.1899,0.5950,0.0176,12
Disorder-PDB,DisEMBL-disHL,0.1,0.7414,0.7213,0.7534,0.0848,0.7530,0.0116,12
Disorder-PDB,DisEMBL-disHL,0.05,0.8521,0.8277,0.8602,0.0367,0.8700,0.0179,12
Disorder-PDB,DisPredict2,0.2,0.7717,0.7509,0.7914,0.1772,0.7380,-0.0337,12
Disorder-PDB,DisPredict2,0.1,0.9074,0.8942,0.9150,0.0836,0.8860,-0.0214,12
Disorder-PDB,DisPredict2,0.05,0.9664,0.9600,0.9728,0.0456,0.9540,-0.0124,12
Disorder-PDB,DisoMine,0.2,0.5505,0.5309,0.5798,0.2177,0.4920,-0.0585,12
Disorder-PDB,DisoMine,0.1,0.7201,0.6946,0.7435,0.1022,0.6810,-0.0391,12
Disorder-PDB,DisoMine,0.05,0.8514,0.8185,0.8776,0.0541,0.8260,-0.0254,12
Disorder-PDB,DisoRDPbind-dna,0.2,0.7515,0.7409,0.7951,0.2121,0.7790,0.0275,12
Disorder-PDB,DisoRDPbind-dna,0.1,0.8850,0.8805,0.9058,0.0978,0.8980,0.0130,12
Disorder-PDB,DisoRDPbind-dna,0.05,0.9586,0.9542,0.9641,0.0355,0.9530,-0.0056,12
Disorder-PDB,DisoRDPbind-prot,0.2,0.6513,0.6362,0.6863,0.2017,0.6560,0.0047,12
Disorder-PDB,DisoRDPbind-prot,0.1,0.8181,0.7964,0.8420,0.0980,0.8320,0.0139,12
Disorder-PDB,DisoRDPbind-prot,0.05,0.9283,0.9204,0.9398,0.0451,0.9270,-0.0013,12
Disorder-PDB,DisoRDPbind-rna,0.2,0.8853,0.8732,0.8964,0.1896,0.8680,-0.0173,12
Disorder-PDB,DisoRDPbind-rna,0.1,0.9517,0.9409,0.9585,0.0991,0.9430,-0.0087,12
Disorder-PDB,DisoRDPbind-rna,0.05,0.9823,0.9788,0.9859,0.0437,0.9750,-0.0073,12
Disorder-PDB,ENSHROUD-all,0.2,0.4785,0.4526,0.4918,0.2236,0.4540,-0.0245,12
Disorder-PDB,ENSHROUD-all,0.1,0.6701,0.6508,0.6899,0.1031,0.6490,-0.0211,12
Disorder-PDB,ENSHROUD-all,0.05,0.7950,0.7681,0.8236,0.0500,0.8270,0.0320,12
Disorder-PDB,ENSHROUD-nucleic,0.2,0.5291,0.5060,0.5502,0.2066,0.5220,-0.0071,12
Disorder-PDB,ENSHROUD-nucleic,0.1,0.7006,0.6892,0.7174,0.1049,0.7090,0.0084,12
Disorder-PDB,ENSHROUD-nucleic,0.05,0.8451,0.8293,0.8583,0.0479,0.8380,-0.0071,12
Disorder-PDB,ENSHROUD-protein,0.2,0.4741,0.4556,0.4890,0.2062,0.4250,-0.0491,12
Disorder-PDB,ENSHROUD-protein,0.1,0.6226,0.5933,0.6470,0.1024,0.6270,0.0044,12
Disorder-PDB,ENSHROUD-protein,0.05,0.7465,0.7091,0.7606,0.0444,0.7720,0.0255,12
Disorder-PDB,ESpritz-D,0.2,0.6306,0.6262,0.6725,0.2099,0.5970,-0.0336,12
Disorder-PDB,ESpritz-D,0.1,0.8009,0.7695,0.8268,0.1112,0.7500,-0.0509,12
Disorder-PDB,ESpritz-D,0.05,0.8762,0.8639,0.8837,0.0401,0.8650,-0.0112,12
Disorder-PDB,ESpritz-N,0.2,0.4522,0.4274,0.4698,0.1889,0.4150,-0.0372,12
Disorder-PDB,ESpritz-N,0.1,0.6391,0.6115,0.6600,0.1011,0.6340,-0.0051,12
Disorder-PDB,ESpritz-N,0.05,0.7880,0.7666,0.8156,0.0524,0.8010,0.0130,12
Disorder-PDB,ESpritz-X,0.2,0.4274,0.4012,0.4617,0.2103,0.4040,-0.0234,12
Disorder-PDB,ESpritz-X,0.1,0.6254,0.5951,0.6420,0.0967,0.6280,0.0026,12
Disorder-PDB,ESpritz-X,0.05,0.7799,0.7450,0.7997,0.0409,0.7860,0.0061,12
Disorder-PDB,IUPred3,0.2,0.5088,0.4666,0.5347,0.1872,0.4720,-0.0368,12
Disorder-PDB,IUPred3,0.1,0.7127,0.6879,0.7361,0.0914,0.6650,-0.0477,12
Disorder-PDB,IUPred3,0.05,0.8291,0.8105,0.8487,0.0471,0.8210,-0.0081,12
Disorder-PDB,IsUnstruct,0.2,0.4248,0.3970,0.4382,0.2026,0.3990,-0.0258,12
Disorder-PDB,IsUnstruct,0.1,0.6029,0.5743,0.6114,0.0907,0.5900,-0.0129,12
Disorder-PDB,IsUnstruct,0.05,0.7593,0.7349,0.7755,0.0396,0.7490,-0.0103,12
Disorder-PDB,LINKER-Pred-Lite,0.2,0.5962,0.5784,0.6035,0.1641,0.5750,-0.0212,12
Disorder-PDB,LINKER-Pred-Lite,0.1,0.8183,0.7674,0.8369,0.0824,0.7880,-0.0303,12
Disorder-PDB,LINKER-Pred-Lite,0.05,0.8975,0.8743,0.9077,0.0428,0.9520,0.0545,12
Disorder-PDB,LINKER-Pred,0.2,0.6187,0.5709,0.6240,0.1704,0.5900,-0.0287,12
Disorder-PDB,LINKER-Pred,0.1,0.7748,0.7453,0.7960,0.0762,0.7880,0.0132,12
Disorder-PDB,LINKER-Pred,0.05,0.8816,0.8603,0.8989,0.0351,0.9330,0.0514,12
Disorder-PDB,LINKER-Pred2,0.2,0.5975,0.5666,0.6122,0.1730,0.5790,-0.0185,12
Disorder-PDB,LINKER-Pred2,0.1,0.7546,0.7430,0.7892,0.0851,0.7870,0.0324,12
Disorder-PDB,LINKER-Pred2,0.05,0.8899,0.8408,0.9000,0.0327,0.9160,0.0261,12
Disorder-PDB,LIPNet,0.2,0.7431,0.7234,0.7715,0.1656,0.7570,0.0139,12
Disorder-PDB,LIPNet,0.1,0.8883,0.8731,0.9020,0.0725,0.9000,0.0117,12
Disorder-PDB,LIPNet,0.05,0.9533,0.9395,0.9587,0.0331,0.9580,0.0047,12
Disorder-PDB,LMDisorder,0.2,0.2922,0.2799,0.3112,0.2153,0.2980,0.0058,12
Disorder-PDB,LMDisorder,0.1,0.4004,0.3820,0.4342,0.1071,0.4770,0.0766,12
Disorder-PDB,LMDisorder,0.05,0.5585,0.5469,0.5777,0.0407,0.6430,0.0845,12
Disorder-PDB,Metapredict-v1,0.2,0.4403,0.4048,0.4667,0.1936,0.4090,-0.0313,12
Disorder-PDB,Metapredict-v1,0.1,0.6115,0.5824,0.6252,0.0875,0.6070,-0.0045,12
Disorder-PDB,Metapredict-v1,0.05,0.7635,0.7254,0.7721,0.0365,0.7810,0.0175,12
Disorder-PDB,Metapredict-v2,0.2,0.3681,0.3540,0.3893,0.1956,0.3640,-0.0041,12
Disorder-PDB,Metapredict-v2,0.1,0.5554,0.5025,0.5832,0.0750,0.5430,-0.0124,12
Disorder-PDB,Metapredict-v2,0.05,0.7225,0.6807,0.7529,0.0362,0.7170,-0.0055,12
Disorder-PDB,Metapredict-v3,0.2,0.3961,0.3682,0.4132,0.2083,0.3820,-0.0141,12
Disorder-PDB,Metapredict-v3,0.1,0.5880,0.5792,0.6012,0.1070,0.5380,-0.0500,12
Disorder-PDB,Metapredict-v3,0.05,0.7363,0.6911,0.7796,0.0400,0.6820,-0.0543,12
Disorder-PDB,MobiDB-lite,0.2,0.4803,0.4468,0.4958,0.1729,0.5020,0.0217,12
